City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arawa,PG,85.32,overcast clouds,-6.2132,155.5367,Coastline Guest House
4,Fort-De-France,MQ,80.55,overcast clouds,14.6089,-61.0733,Patio Gallieni
5,Axim,GH,75.2,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
6,Thongwa,MM,82.56,overcast clouds,16.7619,96.5278,Mhaw Wun Marlar Park
7,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
9,Dingle,PH,87.01,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
19,Grenada,ES,84.56,clear sky,37.1882,-3.6067,HOTEL REINA CRISTINA
21,Vlore,AL,70.56,clear sky,40.4667,19.4897,Hotel Martini
23,Rikitea,PF,72.5,broken clouds,-23.1203,-134.9692,People ThankYou
26,Chicomuselo,MX,71.24,overcast clouds,15.7667,-92.2667,En Chicomuselo
27,Peleduy,RU,75.69,clear sky,59.6289,112.7406,Гостиница «Уют»
28,Katherine,AU,80.92,few clouds,-14.4667,132.2667,Pine Tree Motel
31,Lompoc,US,71.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
32,Hithadhoo,MV,81.73,overcast clouds,-0.6,73.0833,Scoop Guest House
35,Sinnamary,GF,77.41,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
37,Baran,IN,82.6,overcast clouds,25.1,76.5167,Hotel shree ji
39,Jamestown,US,76.71,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Broome,US,72.63,few clouds,42.2506,-75.833,Chenango Valley State Park
45,Tautira,PF,78.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
46,San Patricio,US,85.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
48,Mandalgovi,MN,74.05,scattered clouds,45.7625,106.2708,В.Ганбат
49,Gorontalo,ID,87.39,clear sky,0.5412,123.0595,Maqna Hotel by Prasanthi
50,Hanyang,CN,77.79,overcast clouds,32.1371,105.5126,Forestry Hostel
51,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Malakal,SS,79.09,light rain,9.5334,31.6605,Nile Palace Hotel
56,Ca Mau,VN,86.59,broken clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
60,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
61,Butaritari,KI,82.71,light rain,3.0707,172.7902,Isles Sunset Lodge
65,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
66,Shimoda,JP,73.76,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
70,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
79,Atuona,PF,78.13,clear sky,-9.8,-139.0333,Villa Enata
81,Cururupu,BR,73.89,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
82,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Chahal,GT,71.22,overcast clouds,15.75,-89.5667,HOTEL MY WONDERFUL DAYS
84,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
88,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
89,Gevrai,IN,78.93,moderate rain,19.2667,75.75,Hotel Aadarniy and Biryani House
92,Haines Junction,CA,71.55,overcast clouds,60.7522,-137.5108,Parkside Inn
94,Dongsheng,CN,86.65,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
95,Umm Lajj,SA,80.96,clear sky,25.0213,37.2685,Moon light Furnished Units
97,Sao Filipe,CV,73.94,broken clouds,14.8961,-24.4956,Hotel Xaguate
98,Katsuura,JP,73.42,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Auki,SB,84.47,few clouds,-8.7676,160.7034,Auki Motel
102,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
104,Ponta Do Sol,PT,70.43,few clouds,32.6667,-17.1,Hotel do Campo
106,Tepalcatepec,MX,75.52,overcast clouds,19.1833,-102.85,Maria De Jesus
115,Dewas,IN,78.98,overcast clouds,22.9667,76.0667,OYO 71164 Hotel Suryaansh
116,Kavaratti,IN,81.72,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
121,Itoman,JP,82.42,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
126,Puerto Baquerizo Moreno,EC,71.11,broken clouds,-0.9,-89.6,Hotel los Algarrobos
127,Tiarei,PF,82.42,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
128,Tevaitoa,PF,79.3,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
