City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,2022-06-17 01:34:00,-54.8,-68.3,31.66,80,75,13.8,light snow
1,Dunedin,NZ,2022-06-17 01:43:07,-45.8742,170.5036,46.24,67,14,5.48,few clouds
2,Arawa,PG,2022-06-17 01:47:29,-6.2132,155.5367,85.32,66,97,5.17,overcast clouds
3,Nikolskoye,RU,2022-06-17 01:42:40,59.7035,30.7861,55.87,75,100,6.31,overcast clouds
4,Fort-De-France,MQ,2022-06-17 01:47:30,14.6089,-61.0733,80.55,78,100,8.05,overcast clouds
5,Axim,GH,2022-06-17 01:47:30,4.8699,-2.2405,75.2,91,91,10.56,light rain
6,Thongwa,MM,2022-06-17 01:47:30,16.7619,96.5278,82.56,73,98,5.23,overcast clouds
7,San Cristobal,VE,2022-06-17 01:47:31,7.7669,-72.225,75.38,98,36,2.37,scattered clouds
8,Dikson,RU,2022-06-17 01:45:42,73.5069,80.5464,32.25,93,100,10.02,overcast clouds
9,Dingle,PH,2022-06-17 01:47:31,10.9995,122.6711,87.01,68,33,6.96,scattered clouds
10,Menongue,AO,2022-06-17 01:43:36,-14.6585,17.691,50.13,63,28,3.38,scattered clouds
11,Maniitsoq,GL,2022-06-17 01:47:32,65.4167,-52.9,33.96,99,100,18.59,snow
12,Hobart,AU,2022-06-17 01:39:04,-42.8794,147.3294,50.25,96,0,6.91,light rain
13,Adre,TD,2022-06-17 01:47:33,13.4667,22.2,82.06,43,80,2.19,broken clouds
14,Udachnyy,RU,2022-06-17 01:39:13,66.4167,112.4,66.45,36,85,7.9,overcast clouds
15,Viperesti,RO,2022-06-17 01:47:33,45.2333,26.4667,65.25,77,8,4.54,clear sky
16,Reyes,BO,2022-06-17 01:47:34,-14.3167,-67.3833,68.58,84,4,2.33,clear sky
17,Hermanus,ZA,2022-06-17 01:38:33,-34.4187,19.2345,54.81,48,27,7.34,scattered clouds
18,Castro,BR,2022-06-17 01:38:21,-24.7911,-50.0119,55.38,85,31,3.56,scattered clouds
19,Grenada,ES,2022-06-17 01:43:15,37.1882,-3.6067,84.56,32,0,5.75,clear sky
20,Punta Arenas,CL,2022-06-17 01:38:38,-53.15,-70.9167,32.11,74,40,11.5,scattered clouds
21,Vlore,AL,2022-06-17 01:47:35,40.4667,19.4897,70.56,64,0,3.31,clear sky
22,Qaanaaq,GL,2022-06-17 01:38:47,77.484,-69.3632,32.25,80,17,3.74,few clouds
23,Rikitea,PF,2022-06-17 01:42:14,-23.1203,-134.9692,72.5,64,64,1.68,broken clouds
24,Vazante,BR,2022-06-17 01:47:36,-17.9869,-46.9078,63.43,59,0,1.41,clear sky
25,Storslett,NO,2022-06-17 01:47:36,69.7678,21.0247,45.12,79,8,2.26,clear sky
26,Chicomuselo,MX,2022-06-17 01:47:37,15.7667,-92.2667,71.24,84,100,3.85,overcast clouds
27,Peleduy,RU,2022-06-17 01:43:35,59.6289,112.7406,75.69,36,0,10.83,clear sky
28,Katherine,AU,2022-06-17 01:47:37,-14.4667,132.2667,80.92,22,11,10.36,few clouds
29,Cape Town,ZA,2022-06-17 01:36:03,-33.9258,18.4232,60.91,47,0,10.36,clear sky
30,Mataura,NZ,2022-06-17 01:47:38,-46.1927,168.8643,46.47,71,7,2.08,clear sky
31,Lompoc,US,2022-06-17 01:38:40,34.6391,-120.4579,71.78,70,0,24.0,clear sky
32,Hithadhoo,MV,2022-06-17 01:39:23,-0.6,73.0833,81.73,74,100,9.37,overcast clouds
33,Semirom,IR,2022-06-17 01:47:39,31.4167,51.5667,60.46,29,0,5.17,clear sky
34,Busselton,AU,2022-06-17 01:38:32,-33.65,115.3333,67.08,77,1,24.49,clear sky
35,Sinnamary,GF,2022-06-17 01:47:39,5.3833,-52.95,77.41,83,100,4.41,overcast clouds
36,Camana,PE,2022-06-17 01:47:39,-16.6228,-72.7111,61.05,84,96,11.07,overcast clouds
37,Baran,IN,2022-06-17 01:47:40,25.1,76.5167,82.6,68,100,13.87,overcast clouds
38,Barrow,US,2022-06-17 01:35:02,71.2906,-156.7887,48.22,66,0,5.75,clear sky
39,Jamestown,US,2022-06-17 01:38:24,42.097,-79.2353,76.71,89,0,8.99,clear sky
40,Zhigansk,RU,2022-06-17 01:44:29,66.7697,123.3711,55.81,46,0,19.48,clear sky
41,Mahebourg,MU,2022-06-17 01:38:20,-20.4081,57.7,70.25,88,20,1.14,few clouds
42,Asau,RO,2022-06-17 01:47:41,46.4333,26.4,52.72,79,16,5.91,few clouds
43,Broome,US,2022-06-17 01:38:13,42.2506,-75.833,72.63,85,20,11.01,few clouds
